,AYB,Discretise,Frequency
1745,1933.0,Old,2382
1746,1912.0,Old,2382
1747,1913.0,Old,2382
1748,1952.0,New,433
1749,1932.0,Old,2382
1750,1916.0,Old,2382
1751,1921.0,Old,2382
1752,1947.0,Old,2382
1753,1932.0,Old,2382
1754,1916.0,Old,2382
1755,1916.0,Old,2382
1756,1916.0,Old,2382
1757,1916.0,Old,2382
1758,1936.0,Old,2382
1759,1934.0,Old,2382
1760,1922.0,Old,2382
1761,1936.0,Old,2382
1762,1925.0,Old,2382
1763,1913.0,Old,2382
1764,1917.0,Old,2382
1765,1932.0,Old,2382
1766,1936.0,Old,2382
1767,1931.0,Old,2382
1768,1913.0,Old,2382
1769,1937.0,Old,2382
1770,1937.0,Old,2382
1771,1932.0,Old,2382
1772,1932.0,Old,2382
1773,1923.0,Old,2382
1774,1923.0,Old,2382
1775,1925.0,Old,2382
1776,1932.0,Old,2382
1777,1909.0,Old,2382
1778,1909.0,Old,2382
1779,1922.0,Old,2382
1780,1941.0,Old,2382
1781,1938.0,Old,2382
1782,1921.0,Old,2382
1783,1941.0,Old,2382
1784,1941.0,Old,2382
1785,1920.0,Old,2382
1786,1936.0,Old,2382
1787,1952.0,New,433
1788,1953.0,New,433
1789,1925.0,Old,2382
1790,1925.0,Old,2382
1791,1928.0,Old,2382
1792,2015.0,Very New,175
1793,1938.0,Old,2382
1794,1938.0,Old,2382
1795,1910.0,Old,2382
1796,1925.0,Old,2382
1797,1912.0,Old,2382
1798,1927.0,Old,2382
1799,1937.0,Old,2382
1800,1905.0,Old,2382
1801,0.0,Very Old,10
1802,1939.0,Old,2382
1803,1950.0,Old,2382
1804,1906.0,Old,2382
1805,1936.0,Old,2382
1806,1927.0,Old,2382
1807,1937.0,Old,2382
1808,1940.0,Old,2382
1809,0.0,Very Old,10
1810,1904.0,Old,2382
1811,1923.0,Old,2382
1812,1923.0,Old,2382
1813,1938.0,Old,2382
1814,1912.0,Old,2382
1815,1912.0,Old,2382
1816,1902.0,Old,2382
1817,1907.0,Old,2382
1818,1938.0,Old,2382
1819,1902.0,Old,2382
1820,1975.0,New,433
1821,1948.0,Old,2382
1822,1925.0,Old,2382
1823,1908.0,Old,2382
1824,1900.0,Old,2382
1825,1900.0,Old,2382
1826,1927.0,Old,2382
1827,1907.0,Old,2382
1828,1916.0,Old,2382
1829,1917.0,Old,2382
1830,1943.0,Old,2382
1831,1925.0,Old,2382
1832,1928.0,Old,2382
1833,1937.0,Old,2382
1834,1905.0,Old,2382
1835,1917.0,Old,2382
1836,1917.0,Old,2382
1837,1936.0,Old,2382
1838,1900.0,Old,2382
1839,1927.0,Old,2382
1840,1905.0,Old,2382
1841,1923.0,Old,2382
1842,1920.0,Old,2382
1843,1920.0,Old,2382
