"BATHRM","HEAT_D","AC","NUM_UNITS","ROOMS","BEDRM","AYB","YR_RMDL","SALEDATE","PRICE","QUALIFIED","STYLE","STRUCT","GRADE_D","CNDTN_D","EXTWALL_D","ROOF","INTWALL_D","KITCHENS","FIREPLACES","LANDAREA","GIS_LAST_MOD_DTTM"
3,"Forced Air","Y",3,11,3,1910,2004,"2011-06-06T00:00:00.000Z",0,"U",7,7,"Good Quality","Good","Common Brick",2,"Hardwood",3,0,1380,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",2,7,3,1895,2000,"2017-11-09T00:00:00.000Z",1145000,"Q",4,7,"Very Good","Average","Common Brick",2,"Hardwood/Carp",2,1,928,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",2,9,5,1885,2002,"2012-03-01T00:00:00.000Z",0,"U",4,7,"Good Quality","Good","Common Brick",2,"Hardwood/Carp",2,5,1739,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,6,3,1900,2001,"2013-09-26T00:00:00.000Z",845000,"Q",4,7,"Above Average","Good","Common Brick",2,"Hardwood/Carp",1,2,1638,"2018-07-22T18:01:43.000Z"
4,"Forced Air","Y",2,10,5,1900,1976,"2002-07-12T00:00:00.000Z",485000,"Q",7,6,"Very Good","Average","Common Brick",2,"Hardwood/Carp",2,3,1100,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,7,4,1900,2000,"2000-09-28T00:00:00.000Z",288000,"U",7,8,"Good Quality","Good","Common Brick",6,"Hardwood/Carp",1,3,2940,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","Y",1,6,3,1900,2010,"1900-01-01T00:00:00.000Z",0,"U",7,7,"Very Good","Good","Common Brick",2,"Wood Floor",1,0,1022,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","Y",1,4,1,1900,1978,"1900-01-01T00:00:00.000Z",0,"U",4,7,"Average","Average","Brick Veneer",2,"Hardwood",1,0,1373,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,10,2,1967,2000,"2004-12-07T00:00:00.000Z",541000,"Q",4,7,"Above Average","Average","Common Brick",2,"Hardwood",1,0,1440,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",2,6,3,1900,,"2017-03-17T00:00:00.000Z",0,"U",4,6,"Very Good","Average","Common Brick",2,"Hardwood",2,0,933,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",1,9,4,1900,2014,"2017-04-12T00:00:00.000Z",1029000,"Q",7,6,"Good Quality","Good","Common Brick",8,"Hardwood",1,1,946,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,6,2,1890,2010,"1999-12-02T00:00:00.000Z",220986,"U",4,6,"Above Average","Good","Common Brick",2,"Hardwood/Carp",1,1,1188,"2018-07-22T18:01:43.000Z"
4,"Forced Air","Y",2,11,5,2001,,"2017-10-02T00:00:00.000Z",1675000,"U",7,7,"Good Quality","Very Good","Common Brick",2,"Hardwood/Carp",2,1,2150,"2018-07-22T18:01:43.000Z"
4,"Warm Cool","Y",4,16,8,1910,,"1900-01-01T00:00:00.000Z",,"U",10,5,"Good Quality","Good","Common Brick",2,"Hardwood",4,2,2200,"2018-07-22T18:01:43.000Z"
1,"Ht Pump","Y",1,6,2,1890,,"2009-05-19T00:00:00.000Z",0,"U",4,7,"Above Average","Average","Common Brick",6,"Hardwood",1,1,756,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,7,4,1916,1968,"1999-08-25T00:00:00.000Z",126000,"U",4,7,"Above Average","Average","Common Brick",2,"Hardwood",1,0,2031,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,7,3,2001,,"2012-06-25T00:00:00.000Z",785000,"Q",6,7,"Very Good","Good","Common Brick",1,"Hardwood",1,1,829,"2018-07-22T18:01:43.000Z"
